Cancer label,Sex,Type,Year,ASR (World),Crude rate,Cumulative risk,Total,Country_harmonized,Region Name,RTCenters,Linac,Protontherapy,XRay,Brachytherapy,Last Update,Population,Population_male,Population_female,GDP_per_capita,RTCenters_m,Linac_m,Protontherapy_m,XRay_m,Brachytherapy_m
Lung,Female,Mortality,2007,25.15569834,48.64225166,3.111324029,8121,Canada,Northern America,52,296,0,14,52,2025,33092171.000000004,16396809.000000002,16695362.000000002,44660.0838892281,1.5713686478895565,8.944713841832861,0.0,0.4230607898164191,1.5713686478895565
Lung,Female,Mortality,2008,24.92990834,49.58365403,3.037404818,8368,Canada,Northern America,52,296,0,14,52,2025,33449085.0,16572555.0,16876530.0,46710.2526864484,1.5546015683239167,8.849270465843835,0.0,0.41854657608720836,1.5546015683239167
Lung,Female,Mortality,2009,24.81695325,50.03770405,3.031006404,8540,Canada,Northern America,52,296,0,14,52,2025,33826370.0,16759240.000000002,17067130.0,40874.8831932903,1.537262201057932,8.75056945217592,0.0,0.41387828490021245,1.537262201057932
Lung,Female,Mortality,2010,24.58370901,50.90447303,2.977489519,8783,Canada,Northern America,52,296,0,14,52,2025,34196899.0,16943012.0,17253887.0,47560.6666009406,1.5206057134010893,8.655755599360047,0.0,0.4093938459156779,1.5206057134010893
Lung,Female,Mortality,2011,23.76277209,49.9485327,2.895106961,8707,Canada,Northern America,52,296,0,14,52,2025,34555452.0,17123509.0,17431944.0,52223.8588398531,1.50482766076971,8.56594206899681,0.0,0.4051459086687681,1.50482766076971
Lung,Female,Mortality,2012,23.77655811,51.02612568,2.91154223,8986,Canada,Northern America,52,296,0,14,52,2025,34922516.0,17311929.0,17610587.0,52670.3447335415,1.4890107001454307,8.475907062366296,0.0,0.4008874961930005,1.4890107001454307
Lung,Female,Mortality,2013,23.47260294,51.81878075,2.866643972,9219,Canada,Northern America,52,296,0,14,52,2025,35293433.0,17502586.0,17790847.0,52638.1187235237,1.4733619140988636,8.386829357178147,0.0,0.3966743614881556,1.4733619140988636
Lung,Female,Mortality,2014,23.21449934,52.53511584,2.821134562,9435,Canada,Northern America,52,296,0,14,52,2025,35634264.0,17674847.0,17959416.0,50960.8431174661,1.4592696512547585,8.306611860988626,0.0,0.392880290722435,1.4592696512547585
Lung,Female,Mortality,2015,22.57657862,52.0288105,2.762245612,9430,Canada,Northern America,52,296,0,14,52,2025,35962234.0,17837661.0,18124573.0,43594.1941045394,1.445961338219422,8.23085684832594,0.0,0.3892972833667675,1.445961338219422
Lung,Female,Mortality,2016,22.00590127,52.34519434,2.648720642,9590,Canada,Northern America,52,296,0,14,52,2025,36353343.0,18032655.0,18320689.0,42314.0615817218,1.4304049011393531,8.142304821870164,0.0,0.3851090118452105,1.4304049011393531
Lung,Female,Mortality,2017,21.22878547,51.50201216,2.566209246,9551,Canada,Northern America,52,296,0,14,52,2025,36808497.0,18263590.0,18544907.0,45129.628116623,1.412717286446116,8.041621476693274,0.0,0.38034696173549276,1.412717286446116
Lung,Female,Mortality,2018,20.22655128,50.48967853,2.409769261,9482,Canada,Northern America,52,296,0,14,52,2025,37295005.0,18514929.0,18780076.0,46539.1761570405,1.3942885917296433,7.936719675999507,0.0,0.37538539008105776,1.3942885917296433
Lung,Female,Mortality,2019,19.15854067,49.1199556,2.279763803,9341,Canada,Northern America,52,296,0,14,52,2025,37782935.0,18766224.0,19016711.0,46352.8693445211,1.3762827054065545,7.834224630775772,0.0,0.37053765145561085,1.3762827054065545
Lung,Female,Mortality,2020,18.56766118,48.65819407,2.189048608,9346,Canada,Northern America,52,296,0,14,52,2025,38171902.0,18964448.0,19207453.0,43537.839298904,1.3622585534249774,7.754394842572948,0.0,0.3667619182298016,1.3622585534249774
Lung,Female,Mortality,2021,18.09782237,48.57695844,2.136927787,9399,Canada,Northern America,52,296,0,14,52,2025,38454057.0,19105377.0,19348679.0,52886.6616372703,1.352263039501918,7.697497301780147,0.0,0.3640708183274394,1.352263039501918
Lung,Female,Mortality,2022,17.43395158,47.70482642,2.065611087,9321,Canada,Northern America,52,296,0,14,52,2025,38821259.0,19282356.0,19538904.0,56256.8007264015,1.3394722721383148,7.624688318325792,0.0,0.3606271501910847,1.3394722721383148
